ID,SN,lng,lat
NSSFHN00001,N203PB,113.9539948,22.51985931
NSSFHN00002,CN4Q01,113.9441986,22.50511932
NSSFHN00003,0V0V0R,113.9565277,22.52158546
NSSFHN00004,JLM474,113.9546967,22.57842445
NSSFHN00005,18M5LL,113.9650269,22.57160378
NSSFHN00006,3CKJ57,113.957283,22.52147293
NSSFHN00007,P69NN7,113.9447327,22.50064278
NSSFHN00008,XM4W42,113.9538498,22.51935959
NSSFHN00009,NBH970,113.9538574,22.52269936
NSSFHN00010,3H7RH3,113.9504013,22.54574394
NSSFHN00012,916TNM,113.9445572,22.51604462
NSSFHN00013,8J8A4K,113.9320679,22.5511322
NSSFHN00014,T9R07U,113.9565887,22.57426834
NSSFHN00015,Y229BN,113.9451447,22.49845886
NSSFHN00016,Z2UD56,113.9442978,22.51639748
NSSFHN00017,J10A8P,113.9485779,22.52432442
NSSFHN00018,197CJZ,113.946022,22.5203495
NSSFHN00019,NUG542,113.9445877,22.50474167
NSSFHN00020,ZZ6D14,113.9422531,22.51557159
NSSFHN00021,DUF605,113.9530869,22.5742588
NSSFHN00022,01PJC7,113.9499741,22.57777405
NSSFHN00023,V234BT,113.9534378,22.57793617
NSSFHN00024,95L6QB,113.9546509,22.58383942
NSSFHN00025,0ZA4X8,113.9550095,22.57835579
NSSFHN00026,790CGJ,113.9446487,22.55182648
NSSFHN00027,7SUC99,113.9531097,22.51874161
NSSFHN00029,J4WK37,113.9453506,22.49950218
NSSFHN00030,RUL151,114.016716,22.60238457
NSSFHN00031,103NWG,113.9450773,22.54959709
NSSFHN00033,XWS456,113.9878082,22.56663895
NSSFHN00036,37F2EQ,113.9502106,22.52395821
NSSFHN00037,MUM311,113.9840727,22.56880478
NSSFHN00038,NDF065,113.9472122,22.52476501
NSSFHN00039,75W9GP,113.9465179,22.522686
NSSFHN00040,725JAE,113.9457321,22.52033043
NSSFHN00041,C840NG,113.949173,22.51569748
NSSFHN00042,504JCF,113.9946518,22.56720161
NSSFHN00043,G9ER13,113.9454575,22.51584625
NSSFHN00044,YF2B08,113.9440918,22.51229477
NSSFHN00045,X970PP,113.9494858,22.51572609
NSSFHN00046,448JVE,113.9463272,22.51575661
NSSFHN00047,120XYD,113.980629,22.57025719
NSSFHN00048,W68G6D,113.9458084,22.55446243
NSSFHN00049,988MHU,113.9461822,22.52145651
NSSFHN00050,104XSM,113.9471283,22.4922905
NSSFHN00051,6HD91K,113.9545975,22.52236557
NSSFHN00052,W0N0B7,113.9463196,22.49425888
NSSFHN00053,4L94EW,113.9441223,22.50871277
NSSFHN00054,2K4R2H,113.9168436,22.55147459
NSSFHN00056,1DJD86,113.9444962,22.50733566
NSSFHN00057,XZL762,113.9471436,22.49157143
NSSFHN00058,42BS2D,113.9457245,22.5774231
NSSFHN00059,N28NW9,113.9556503,22.52171516
NSSFHN00061,957PQC,113.9448853,22.50211525
NSSFHN00062,0N24TS,113.9443893,22.51438904
NSSFHN00063,K8KX82,113.9524002,22.51684761
NSSFHN00064,09UC4G,113.9504318,22.51615524
NSSFHN00065,VXW716,113.945549,22.49618721
NSSFHN00067,HYB505,113.9864349,22.56704521
NSSFHN00069,P087NH,113.946106,22.49417114
NSSFHN00070,78VWV2,113.9452515,22.49753952
NSSFHN00071,Y8E2Y2,113.9431992,22.51554298
NSSFHN00072,DSP027,113.9592438,22.52123451
NSSFHN00073,CJ4W25,113.9866257,22.56727028
NSSFHN00074,137YGC,113.9481315,22.57276781
NSSFHN00076,XBY103,113.9514694,22.5158329
NSSFHN00078,G5JC41,113.9496536,22.57162285
NSSFHN00080,U4VR96,113.9452209,22.55244255
NSSFHN00081,147JEJ,113.9444962,22.50206566
NSSFHN00082,Y4QL96,113.983139,22.56874657
NSSFHN00083,88X8PE,113.9859695,22.56776237
NSSFHN00084,L75R3D,113.9527435,22.51849556
NSSFHN00085,9MC3K5,114.016716,22.60238457
NSSFHN00086,WYH102,113.9522629,22.51708221
NSSFHN00087,V32CL8,113.9478302,22.52430725
NSSFHN00088,GX681J,113.9478378,22.49057198
NSSFHN00089,PJ770T,113.9485088,22.54941351
NSSFHN00090,Y234KV,113.9575195,22.57427788
NSSFHN00092,T0Y4L7,113.94561,22.49752235
NSSFHN00093,D62KU4,113.9452515,22.55134964
NSSFHN00094,N3P26R,113.9462128,22.5245533
NSSFHN00095,170HMF,113.9849091,22.56775284
NSSFHN00096,Z3Z03Z,113.9530334,22.57388687
NSSFHN00097,XC3J12,113.9485358,22.55306001
NSSFHN00098,VB291N,113.9456406,22.55351067
NSSFHN00099,LM6P42,113.9434891,22.55199623
NSSFHN00100,7UNT55,113.9457855,22.55669022
NSSFHN00101,Q10TH4,113.9887924,22.56567383
NSSFHN00102,PXC694,113.9655457,22.57054329
NSSFHN00103,R7S5U1,113.9660263,22.57429123
NSSFHN00104,CU5Q06,113.9460115,22.55566341
NSSFHN00105,58N7MV,113.9547348,22.58007622
NSSFHN00106,929MUH,113.9573212,22.52170753
NSSFHN00107,73CJF5,113.9459229,22.49560165
NSSFHN00108,L20NP2,113.9461899,22.49359131
NSSFHN00109,V97R1T,113.950676,22.51594353
NSSFHN00110,2A4P6N,113.9507217,22.51573563
NSSFHN00111,A7YN79,113.9443817,22.50320625
NSSFHN00112,05A5GW,113.974472,22.57263565
NSSFHN00113,S600TZ,113.9542618,22.57391548
NSSFHN00114,RPT649,113.9408875,22.57401085
NSSFHN00115,P3X42W,113.9909058,22.56524467
NSSFHN00116,30Z4HX,113.9458694,22.50359726
NSSFHN00117,2A7VE7,113.9545135,22.52069283
NSSFHN00118,P66WC1,113.9450531,22.50099182
NSSFHN00119,G1L06P,113.9440613,22.50973892
NSSFHN00120,MAR975,113.9444504,22.51142693
NSSFHN00121,LR7H01,113.9884567,22.56634331
NSSFHN00122,PSM103,113.9910965,22.56806374
NSSFHN00123,JCK448,113.9497833,22.51590729
NSSFHN00124,SNH942,113.9874573,22.56734467
NSSFHN00125,94BX0C,113.9498138,22.57423592
NSSFHN00127,TG989X,113.9450836,22.55137062
NSSFHN00128,F3D37V,113.9693585,22.54663475
NSSFHN00129,59VJE1,113.9450912,22.55040932
NSSFHN00130,JJX950,113.9695358,22.57370186
NSSFHN00131,212DRL,113.9486705,22.54626759
NSSFHN00132,51Q5FG,113.9642715,22.57758141
NSSFHN00133,463RAW,113.9516296,22.51613235
NSSFHN00134,HPF036,113.9878159,22.56854248
NSSFHN00135,741HFF,113.9914398,22.56505013
NSSFHN00136,5CE3M1,113.9338226,22.55184174
NSSFHN00137,7V1FL3,113.9430618,22.57394791
NSSFHN00139,X5XA29,113.9200821,22.55233192
NSSFHN00140,FF5T48,113.9963837,22.56693459
NSSFHN00141,U28EP2,113.9408875,22.51552773
NSSFHN00142,3D55CN,113.9475403,22.57386971
NSSFHN00143,081LJQ,113.95504,22.57750702
NSSFHN00144,4P6WQ7,113.9554367,22.57428741
NSSFHN00145,35M0NA,113.9520493,22.52348328
NSSFHN00146,065NMF,113.9543915,22.57789612
NSSFHN00147,RP0P24,113.9440994,22.51415062
NSSFHN00148,9FM4F1,113.9475174,22.52586555
NSSFHN00149,JDR041,113.9550018,22.57653046
NSSFHN00150,XEW766,113.9901581,22.56536102
NSSFHN00151,Z7V4U7,113.9527359,22.51851273
NSSFHN00152,08F9CU,113.9900513,22.56669235
NSSFHN00153,48E8LF,113.9547195,22.57930183
NSSFHN00154,M9P25L,113.9360886,22.5519886
NSSFHN00155,39U9ML,113.9453659,22.51842117
NSSFHN00156,DPE605,113.944191,22.5739193
NSSFHN00157,QDF084,113.9457855,22.57527161
NSSFHN00158,X2WS89,113.9394531,22.55184174
NSSFHN00159,JVV671,113.9278336,22.56866837
NSSFHN00160,P13YW4,113.9440994,22.5064888
NSSFHN00161,K99NC8,113.954361,22.52026939
NSSFHN00162,R393ST,113.993309,22.56753349
NSSFHN00163,A15UF5,113.9547577,22.57740784
NSSFHN00164,TR1U67,113.9575272,22.57394409
NSSFHN00165,0P6D8T,113.9545135,22.52146721
NSSFHN00166,VB4J18,113.9556427,22.52204132
NSSFHN00168,MX04Y5,113.9418411,22.57396507
NSSFHN00169,4JS6H0,113.9452362,22.51901436
NSSFHN00170,A307LJ,113.9444809,22.50844383
NSSFHN00171,LHC192,113.9549866,22.57942581
NSSFHN00172,32NB6H,113.9445419,22.50528908
NSSFHN00173,1J0H2X,113.9444504,22.51237488
NSSFHN00174,9G1C2N,113.9465027,22.49361992
NSSFHN00176,427AQZ,113.9193039,22.55275726
NSSFHN00177,935VCF,113.9448013,22.50025558
NSSFHN00178,0WJ77F,113.9549866,22.58006859
NSSFHN00179,Q29XE6,113.9449234,22.49958992
NSSFHN00180,UE9G89,113.9460115,22.55669808
NSSFHN00181,623ZJG,113.9484909,22.54730233
NSSFHN00182,L981MA,113.9457092,22.51948929
NSSFHN00183,SC584P,113.9502029,22.51605034
NSSFHN00184,4K1DC5,113.948143,22.49068832
NSSFHN00185,QA95N9,113.9546509,22.52108383
NSSFHN00186,CCF288,113.9458313,22.49625015
NSSFHN00187,18Q6FK,113.9454727,22.55245972
NSSFHN00188,3J83LD,113.9468994,22.52363205
NSSFHN00189,65T0SZ,113.9399567,22.51556015
NSSFHN00190,1Q45VH,113.9840927,22.56821251
NSSFHN00191,W5C7Y3,113.9445114,22.50965309
NSSFHN00192,58KHV1,113.9454269,22.49804878
NSSFHN00193,GPG499,113.9441376,22.50740242
NSSFHN00194,TJ3U77,113.9527206,22.5176239
NSSFHN00195,9E2P6K,113.9550705,22.57502556
NSSFHN00196,1KZ28V,113.9614534,22.5462509
NSSFHN00197,U19CW5,113.9467545,22.57783699
NSSFHN00198,1JP9P1,113.9546585,22.58298111
NSSFHN00199,8TPP91,113.9548721,22.58389664
NSSFHN00200,68W2PW,113.9321747,22.54994774
NSSFHN00201,0XAP30,113.955452,22.59020424
NSSFHN00202,C162PW,113.9333267,22.52018547
NSSFHN00203,G412HA,113.9388733,22.54969406
NSSFHN00204,1W62PL,113.9738617,22.59002876
NSSFHN00205,5F8P5F,113.9315796,22.51431465
NSSFHN00206,P649UX,113.9041443,22.52271461
NSSFHN00207,SF917E,113.9077225,22.53142738
NSSFHN00208,984LXN,113.9089966,22.52942467
NSSFHN00209,280WNT,113.9087753,22.52943993
NSSFHN00210,N790MP,113.9104462,22.52887726
NSSFHN00211,765HNB,113.9105835,22.52949142
NSSFHN00213,JC4N31,113.9098282,22.52971649
NSSFHN00214,NB2U24,113.9083176,22.53021049
NSSFHN00215,383ANV,113.9066315,22.53066063
NSSFHN00216,6ML14P,113.9059982,22.53113556
NSSFHN00217,0C6B7N,113.9096222,22.53473091
NSSFHN00218,3YA5M1,113.9079895,22.53215218
NSSFHN00219,8NJD59,113.9080048,22.53410339
NSSFHN00220,63K2RJ,113.9079361,22.53380013
NSSFHN00221,GEM715,113.9079056,22.53642845
NSSFHN00222,4B14PK,113.9079056,22.53705406
NSSFHN00223,052CMQ,113.908226,22.53715706
NSSFHN00224,Z4RJ42,113.9851074,22.6265049
NSSFHN00225,5L0M8S,113.9078674,22.53915405
NSSFHN00226,R9A78W,113.9077988,22.53835678
NSSFHN00227,JC480H,113.9078445,22.54061127
NSSFHN00228,A527CM,113.9081421,22.54186249
NSSFHN00229,VK4Z35,113.9081039,22.54236794
NSSFHN00230,J56A7P,113.9080811,22.54312134
NSSFHN00231,E09H2H,113.9077606,22.54451752
NSSFHN00232,1D21PP,113.9077454,22.54512215
NSSFHN00233,G02ZR1,113.9076309,22.54585838
NSSFHN00234,U085XK,113.9072113,22.54783058
NSSFHN00235,84G8AE,113.9069138,22.54832268
NSSFHN00236,0L59AV,113.9062119,22.54901505
NSSFHN00237,0MJN33,113.9045029,22.54688263
NSSFHN00238,9BA4Z6,113.9071198,22.5470047
NSSFHN00239,F1RL87,113.9067307,22.5470314
NSSFHN00240,PYT582,113.9076843,22.54561806
NSSFHN00241,25T6PF,113.9077225,22.54520607
NSSFHN00243,AQD186,113.9062347,22.54382133
NSSFHN00244,ETM059,113.9081955,22.53860664
NSSFHN00245,UJ49E7,113.9113388,22.53932381
NSSFHN00246,1LA81M,113.9115219,22.54022026
NSSFHN00247,70NH6B,113.910881,22.54133797
NSSFHN00248,Z8DE92,113.9114456,22.54296494
NSSFHN00249,459VCX,113.9113007,22.5422821
NSSFHN00250,539RUE,113.911438,22.54454231
NSSFHN00251,N4L44W,113.9114075,22.54569817
NSSFHN00252,B4B2T9,113.9113312,22.54948235
NSSFHN00253,045NSW,113.909256,22.55015564
NSSFHN00254,Z6TZ02,113.9098969,22.55017281
NSSFHN00255,WE8Q93,113.9097366,22.54832649
NSSFHN00256,307RKU,113.9116058,22.54999924
NSSFHN00257,48J9EJ,113.911377,22.54802704
NSSFHN00258,VB8V51,113.9118118,22.54697609
NSSFHN00259,46X3NP,113.9108429,22.54885674
NSSFHN00260,NX240S,113.9113846,22.5463562
NSSFHN00261,L9G14P,113.9112244,22.54573059
NSSFHN00262,9X89BT,113.9113998,22.54572678
NSSFHN00263,335EBM,113.9114227,22.54481506
NSSFHN00264,UN919Z,113.911438,22.54383278
NSSFHN00265,19PZ4G,113.9114532,22.54285049
NSSFHN00266,V1D63A,113.911499,22.5413723
NSSFHN00267,D07YW9,113.911499,22.54054451
NSSFHN00268,7K9Y8M,113.9115143,22.53989029
NSSFHN00269,QT178P,113.9114075,22.53854561
NSSFHN00270,2N0Z9K,113.9115524,22.53841782
NSSFHN00271,V67J7J,113.9077377,22.54670334
NSSFHN00272,562BHW,113.9085693,22.5438118
NSSFHN00273,YZ5H49,113.9081116,22.54292297
NSSFHN00274,G6C95J,113.9076385,22.54589081
NSSFHN00275,BP14M6,113.9074631,22.54645538
NSSFHN00276,P9P9C4,113.907135,22.54257965
NSSFHN00277,H2QQ32,113.9077988,22.54305649
NSSFHN00278,3XG27W,113.9078445,22.53988838
NSSFHN00279,AJ07P7,113.9079056,22.53574562
NSSFHN00280,1FT65J,113.9078979,22.53703499
NSSFHN00281,ZN83M1,113.9082184,22.53705025
NSSFHN00283,U3M4R7,113.9056702,22.53470421
NSSFHN00284,SH93E5,113.9079132,22.53353691
NSSFHN00286,J4KA27,113.9073868,22.5313549
NSSFHN00288,9PND19,113.9123154,22.54694557
NSSFHN00289,KR32U1,113.9115295,22.54696465
NSSFHN00290,7R03RD,113.9111633,22.54977036
NSSFHN00291,GBK576,113.9127579,22.54674911
NSSFHN00292,E8A76T,113.9128189,22.54466629
NSSFHN00293,0SS77P,113.9127197,22.5423336
NSSFHN00294,06A2BB,113.9135361,22.54135895
NSSFHN00295,HH343V,113.9131012,22.54331207
NSSFHN00296,44VYU4,113.9128189,22.5456543
NSSFHN00297,93E2MJ,113.9130402,22.54856491
NSSFHN00298,6JU84J,113.9043884,22.53881073
NSSFHN00299,LPN548,113.9040451,22.53862762
NSSFHN00300,4E1LJ7,113.9040527,22.5395298
NSSFHN00301,78R1JT,113.9044113,22.53965378
NSSFHN00302,YQ1S91,113.9044189,22.54013062
NSSFHN00303,J12LT4,113.9021454,22.54211044
NSSFHN00304,U465QF,114.0067139,22.59754753
NSSFHN00305,462HLS,114.0073853,22.59771538
NSSFHN00306,7TPB96,114.0085373,22.59826279
NSSFHN00307,807DZH,114.0084381,22.59846306
NSSFHN00308,2J74GM,113.9995041,22.59748077
NSSFHN00309,0TP44G,113.9997559,22.59615898
NSSFHN00310,7EP36P,113.9999161,22.59604645
NSSFHN00311,EPJ670,113.9998016,22.59416771
NSSFHN00312,569KBS,114.0006485,22.59445381
NSSFHN00313,128JCP,113.9892731,22.59148598
NSSFHN00314,CYZ347,113.9892349,22.59231758
NSSFHN00315,A168PE,113.988945,22.59353447
NSSFHN00316,7U94EW,113.9888611,22.59440041
NSSFHN00317,7M30HN,113.988802,22.595146
NSSFHN00318,9L13KJ,113.9892426,22.5960598
NSSFHN00319,AD9C01,113.9901428,22.59610176
NSSFHN00320,203SPV,113.9909897,22.59617233
NSSFHN00321,5Q48DB,113.9919815,22.59630394
NSSFHN00322,92W7HP,113.9932098,22.59652519
NSSFHN00323,8JP7W3,113.9948196,22.59776878
NSSFHN00324,143LCQ,113.9968033,22.59841728
NSSFHN00325,Y8R00P,113.9968948,22.59778214
NSSFHN00327,8V4SP4,114.0121384,22.60269928
NSSFHN00328,RBD281,114.0109024,22.60195351
NSSFHN00329,63C1LH,114.0098267,22.6012516
NSSFHN00330,K74R4N,114.0088425,22.60062599
NSSFHN00331,33Z2HJ,114.0080795,22.60011864
NSSFHN00332,892NJP,114.0073624,22.59966087
NSSFHN00333,63P4PP,114.0062103,22.59890175
NSSFHN00334,4KFX45,114.0054703,22.59852982
NSSFHN00335,0SA2W7,114.0044098,22.59834671
NSSFHN00336,3MCJ06,114.0034103,22.59839249
NSSFHN00337,S9MY05,114.002182,22.59848213
NSSFHN00338,B41ZX2,114.0011978,22.59852028
NSSFHN00339,ZW9J08,114.0000839,22.59850693
NSSFHN00340,00F7WS,113.9982147,22.60013771
NSSFHN00341,R953EY,113.9984818,22.60080528
NSSFHN00342,T60AT5,113.9987793,22.60168648
NSSFHN00343,F80X9N,113.9987564,22.60217476
NSSFHN00344,0YUQ93,113.995636,22.60317421
NSSFHN00345,784FDT,113.9954224,22.60257149
NSSFHN00346,UZD727,113.995018,22.60057449
NSSFHN00347,PG0Y72,113.9708405,22.59650421
NSSFHN00348,P42UU2,113.9708023,22.59743309
NSSFHN00349,2SZA53,113.9706116,22.59738541
NSSFHN00350,718VUY,113.9692612,22.5924778
NSSFHN00351,R445FM,113.9703217,22.59251213
NSSFHN00352,J2M7X0,113.9706345,22.59513283
NSSFHN00353,28D8LM,113.970047,22.5998497
NSSFHN00354,6M8ZS3,113.9701309,22.59908295
NSSFHN00355,PKG869,113.9715958,22.60233307
